schema_version,corpus_release_id,poet_id,poet_name,poem_id,title,relative_path,source_bytes,source_sha256,canonical_text_sha256,unicode_character_count,physical_line_count,nonblank_line_count,inventory_word_estimate,warning_codes
1.0,versemap-reference-d9969e023145ab13,samuel-taylor-coleridge,Samuel Taylor Coleridge,samuel-taylor-coleridge-6644ba6f478b43de,To the Rev. W. J. Hort while teaching a Young Lady some Song-tunes on his Flute,Samuel Taylor Coleridge/To the Rev. W. J. Hort while teaching a Young Lady some Song-tunes on his Flute.txt,1044,a2e4900436fcdeb24aa64433ed395c69807a968dd0ad66cef8a4bd1dfd3baae6,a2e4900436fcdeb24aa64433ed395c69807a968dd0ad66cef8a4bd1dfd3baae6,1044,34,29,170,
1.0,versemap-reference-d9969e023145ab13,samuel-taylor-coleridge,Samuel Taylor Coleridge,samuel-taylor-coleridge-c22319678e61ce9c,To the Young Artist Kayser of Kaserwerth,Samuel Taylor Coleridge/To the Young Artist Kayser of Kaserwerth.txt,636,460b225ba49aff2bf7d82ed4ce78eb43c075a99266eb6ccad0468a13ecc6196b,460b225ba49aff2bf7d82ed4ce78eb43c075a99266eb6ccad0468a13ecc6196b,636,16,15,109,
1.0,versemap-reference-d9969e023145ab13,samuel-taylor-coleridge,Samuel Taylor Coleridge,samuel-taylor-coleridge-f14deae7b53c3bb5,To Two Sisters. [Mary Morgan and Charlotte Brent],Samuel Taylor Coleridge/To Two Sisters. [Mary Morgan and Charlotte Brent].txt,2358,b794348939fe5faa128d0f2f89e5647223cb5531481d21c7b9dfe27d04d9e0c5,b794348939fe5faa128d0f2f89e5647223cb5531481d21c7b9dfe27d04d9e0c5,2358,56,53,419,
1.0,versemap-reference-d9969e023145ab13,samuel-taylor-coleridge,Samuel Taylor Coleridge,samuel-taylor-coleridge-4b0fe3b4ddb6af06,To William Wordsworth,Samuel Taylor Coleridge/To William Wordsworth.txt,4948,c7f99b0ca2802761c23a8fbad71a59fd1e0c21cb99e0a73395bc3ec4acb38a84,c7f99b0ca2802761c23a8fbad71a59fd1e0c21cb99e0a73395bc3ec4acb38a84,4944,122,116,856,
1.0,versemap-reference-d9969e023145ab13,samuel-taylor-coleridge,Samuel Taylor Coleridge,samuel-taylor-coleridge-632421df5535a4d3,To,Samuel Taylor Coleridge/To.txt,183,7f12e081cef3f13dcc215f4f365f951c073804a98c970f6b4b2e37b61f3d1ebc,7f12e081cef3f13dcc215f4f365f951c073804a98c970f6b4b2e37b61f3d1ebc,183,4,4,31,
1.0,versemap-reference-d9969e023145ab13,samuel-taylor-coleridge,Samuel Taylor Coleridge,samuel-taylor-coleridge-e9244add21ef0051,TRANSLATED FROM CLAUDIAN,Samuel Taylor Coleridge/TRANSLATED FROM CLAUDIAN.txt,456,5924fbf56b3de0c5298dbf0250c26f2f1d366710697e74ee7ca57e3f44641e4a,5924fbf56b3de0c5298dbf0250c26f2f1d366710697e74ee7ca57e3f44641e4a,456,13,10,77,
1.0,versemap-reference-d9969e023145ab13,samuel-taylor-coleridge,Samuel Taylor Coleridge,samuel-taylor-coleridge-fa5fd44bc346f8da,TRANSLATION OF A FRAGMENT OF HERACLITUS,Samuel Taylor Coleridge/TRANSLATION OF A FRAGMENT OF HERACLITUS.txt,418,0827220abc48cd01a1efbbb6c81e15d10ebdca1bdf50c52b6321f5ac44ae88c8,0827220abc48cd01a1efbbb6c81e15d10ebdca1bdf50c52b6321f5ac44ae88c8,418,14,11,62,
1.0,versemap-reference-d9969e023145ab13,samuel-taylor-coleridge,Samuel Taylor Coleridge,samuel-taylor-coleridge-c51c06db72b68685,Translation of a Latin Inscription by the Rev. W. L. Bowles in Nether-Stowey Church,Samuel Taylor Coleridge/Translation of a Latin Inscription by the Rev. W. L. Bowles in Nether-Stowey Church.txt,633,0edc3354d9a14f62a4fdc5fe5e126d74a38358645c15a5a667f38e70eba02d5f,0edc3354d9a14f62a4fdc5fe5e126d74a38358645c15a5a667f38e70eba02d5f,626,18,15,99,
1.0,versemap-reference-d9969e023145ab13,samuel-taylor-coleridge,Samuel Taylor Coleridge,samuel-taylor-coleridge-693785820c13e6bc,Translation of a Passage in Ottfried's Metrical Paraphrase of the Gospel,Samuel Taylor Coleridge/Translation of a Passage in Ottfried's Metrical Paraphrase of the Gospel.txt,850,0e14ec1584c780b122d67b78e504c4b7dd903cf6546f2eda7194cc5b05f5523b,0e14ec1584c780b122d67b78e504c4b7dd903cf6546f2eda7194cc5b05f5523b,850,25,25,153,
1.0,versemap-reference-d9969e023145ab13,samuel-taylor-coleridge,Samuel Taylor Coleridge,samuel-taylor-coleridge-9fdbe979e9936bc1,Translation of Wrangham's 'Hendecasyllabi ad Bruntonam e Granta Exituram' [Kal. Oct. MDCCXC],Samuel Taylor Coleridge/Translation of Wrangham's 'Hendecasyllabi ad Bruntonam e Granta Exituram' [Kal. Oct. MDCCXC].txt,1525,c1a329cadaa4d2be1b5b2c001578e3fbcdcc3a12b5d0921e5ac48269b26d9f60,c1a329cadaa4d2be1b5b2c001578e3fbcdcc3a12b5d0921e5ac48269b26d9f60,1524,37,34,256,
1.0,versemap-reference-d9969e023145ab13,samuel-taylor-coleridge,Samuel Taylor Coleridge,samuel-taylor-coleridge-4202f55dae85b872,TROCHAICS,Samuel Taylor Coleridge/TROCHAICS.txt,227,d2feef1820d6923dc2204cd886c673bd906e9eb46ac0d11a45af88bc4812e047,d2feef1820d6923dc2204cd886c673bd906e9eb46ac0d11a45af88bc4812e047,227,6,6,35,
1.0,versemap-reference-d9969e023145ab13,samuel-taylor-coleridge,Samuel Taylor Coleridge,samuel-taylor-coleridge-108e48dcbcb40df7,UNDER THE NAME OF ALE,Samuel Taylor Coleridge/UNDER THE NAME OF ALE.txt,314,c62b71c0aabe46e549d671da8bacac60ea8e9de5fde896684e150ac23456287f,c62b71c0aabe46e549d671da8bacac60ea8e9de5fde896684e150ac23456287f,314,19,12,63,
